  time (s)              T(t) (K)              P(t) (Pa)           Kinetic En. (n.u.)     Potential En. (n.u.) Total En. (n.u.)
  3.6500e-13           82.21594329            0.00000000        1874.65889908           -1.02446008         1873.63443899 
  3.7000e-13           82.82673286            0.00000000        1888.58590710           -1.02420547         1887.56170163 
  3.7500e-13           83.45931027            0.00000000        1903.00971385           -1.02392949         1901.98578436 
  3.8000e-13           84.11321706            0.00000000        1917.91986540           -1.02365585         1916.89620955 
  3.8500e-13           84.78781035            0.00000000        1933.30170323           -1.02340420         1932.27829903 
  3.9000e-13           85.48217664            0.00000000        1949.13439817           -1.02319005         1948.11120812 
  3.9500e-13           86.19501797            0.00000000        1965.38835444           -1.02302489         1964.36532955 
  4.0000e-13           86.92453509            0.00000000        1982.02254614           -1.02291628         1980.99962986 
  4.0500e-13           87.66833770            0.00000000        1998.98247048           -1.02286795         1997.95960252 
  4.1000e-13           88.42340776            0.00000000        2016.19931123           -1.02288004         2015.17643119 
  4.1500e-13           89.18612896            0.00000000        2033.59061080           -1.02294922         2032.56766159 
  4.2000e-13           89.95237821            0.00000000        2051.06235556           -1.02306899         2050.03928657 
  4.2500e-13           90.71766009            0.00000000        2068.51204267           -1.02322989         2067.48881278 
  4.3000e-13           91.47725861            0.00000000        2085.83213973           -1.02341978         2084.80871995 
  4.3500e-13           92.22638261            0.00000000        2102.91340049           -1.02362409         2101.88977640 
  4.4000e-13           92.96029019            0.00000000        2119.64770206           -1.02382610         2118.62387596 
  4.4500e-13           93.67438850            0.00000000        2135.93031935           -1.02400725         2134.90631211 
  4.5000e-13           94.36431427            0.00000000        2151.66176310           -1.02414738         2150.63761572 
  4.5500e-13           95.02600622            0.00000000        2166.74942933           -1.02422501         2165.72520432 
  4.6000e-13           95.65578087            0.00000000        2181.10932840           -1.02421762         2180.08511078 
  4.6500e-13           96.25042055     80467840.79271355        2194.66809242           -1.02410191         2193.64399051 
  4.7000e-13           96.80826945            0.00000000        2207.38796602           -1.02385403         2206.36411199 
  4.7500e-13           97.32621046            0.00000000        2219.19787390           -1.02344987         2218.17442404 
  4.8000e-13           97.80305792            0.00000000        2230.07078115           -1.02286525         2229.04791590 
  4.8500e-13           98.23850517            0.00000000        2239.99969554           -1.02207621         2238.97761933 
  4.9000e-13           98.63316825            0.00000000        2248.99866378           -1.02105921         2247.97760457 
  4.9500e-13           98.98856603     94972998.72779362        2257.10231853           -1.01979136         2256.08252716 
  5.0000e-13           99.30766187            0.00000000        2264.37822905           -1.01825070         2263.35997835 
  5.0500e-13           99.59277114            0.00000000        2270.87918988           -1.01641634         2269.86277354 
  5.1000e-13           99.84726944            0.00000000        2276.68217023           -1.01426880         2275.66790143 
  5.1500e-13          100.07468522            0.00000000        2281.86762457           -1.01179016         2280.85583441 
  5.2000e-13          100.27844744            0.00000000        2286.51373863           -1.00896434         2285.50477428 
  5.2500e-13          100.46167271            0.00000000        2290.69157652           -1.00577736         2289.68579916 
  5.3000e-13          100.62701459            0.00000000        2294.46164378           -1.00221750         2293.45942628 
  5.3500e-13          100.77658119            0.00000000        2297.87200859           -0.99827567         2296.87373292 
  5.4000e-13          100.91191187            0.00000000        2300.95777090           -0.99394552         2299.96382538 
  5.4500e-13          101.03399489            0.00000000        2303.74146487           -0.98922379         2302.75224108 
  5.5000e-13          101.14330778            0.00000000        2306.23397878           -0.98411048         2305.24986830 
  5.5500e-13          101.23986948            0.00000000        2308.43574448           -0.97860909         2307.45713539 
  5.6000e-13          101.32330360            0.00000000        2310.33817975           -0.97272685         2309.36545290 
  5.6500e-13          101.39291989            0.00000000        2311.92554595           -0.96647487         2310.95907108 
  5.7000e-13          101.44782303     53725445.42242643        2313.17742791           -0.95986835         2312.21755957 
  5.7500e-13          101.48814275            0.00000000        2314.09678401           -0.95292670         2313.14385732 
  5.8000e-13          101.51191970            0.00000000        2314.63893746           -0.94567362         2313.69326385 
  5.8500e-13          101.51857558            0.00000000        2314.79070253           -0.93813718         2313.85256534 
  5.9000e-13          101.50797665            0.00000000        2314.54902960           -0.93034983         2313.61867977 
  5.9500e-13          101.48056058     77381903.00105305        2313.92389799           -0.92234833         2313.00154967 
  6.0000e-13          101.43933409            0.00000000        2312.98386605           -0.91417363         2312.06969242 
  6.0500e-13          101.38373260            0.00000000        2311.71606065           -0.90587073         2310.81018993 
  6.1000e-13          101.31597197            0.00000000        2310.17100659           -0.89748839         2309.27351820 
  6.1500e-13          101.23869804            0.00000000        2308.40903375           -0.88907882         2307.51995493 
  6.2000e-13          101.15482752            0.00000000        2306.49664772           -0.88069728         2305.61595044 
  6.2500e-13          101.06738109     68892508.72990592        2304.50272520           -0.87240158         2303.63032362 
  6.3000e-13          100.98235937    169562217.57480586        2302.56409000           -0.86425157         2301.69983843 
  6.3500e-13          100.90171504     91051991.64620332        2300.72526642           -0.85630846         2299.86895796 
  6.4000e-13          100.83013437    137291796.43553859        2299.09310925           -0.84863419         2298.24447506 
  6.4500e-13          100.76933384     76790530.79178074        2297.70675696           -0.84129066         2296.86546630 
  6.5000e-13          100.71870633            0.00000000        2296.55236643           -0.83433893         2295.71802751 
  6.5500e-13          100.67788021    174120187.50646010        2295.62146378           -0.82783845         2294.79362532 
  6.6000e-13          100.65335634     55952001.33696831        2295.06227904           -0.82184623         2294.24043281 
  6.6500e-13          100.64095823            0.00000000        2294.77958165           -0.81641596         2293.96316569 
  6.7000e-13          100.63944682            0.00000000        2294.74511908           -0.81159729         2293.93352180 
  6.7500e-13          100.64844831    184333714.88951510        2294.95036799           -0.80743498         2294.14293300 
  6.8000e-13          100.67252935     54293960.88431127        2295.49945517           -0.80396828         2294.69548690 
  6.8500e-13          100.70772319            0.00000000        2296.30193266           -0.80123021         2295.50070245 
  6.9000e-13          100.75021744    138303134.85529304        2297.27087154           -0.79924709         2296.47162445 
  6.9500e-13          100.80102808            0.00000000        2298.42943787           -0.79803803         2297.63139983 
  7.0000e-13          100.85562072            0.00000000        2299.67424003           -0.79761469         2298.87662534 
  7.0500e-13          100.91232226            0.00000000        2300.96712839           -0.79798100         2300.16914740 
  7.1000e-13          100.96940922     93534525.90596628        2302.26880509           -0.79913313         2301.46967196 
  7.1500e-13          101.02759652     44072793.52679916        2303.59557150           -0.80105956         2302.79451194 
  7.2000e-13          101.08391338    136421853.71470761        2304.87968870           -0.80374125         2304.07594746 
  7.2500e-13          101.13807978            0.00000000        2306.11477175           -0.80715197         2305.30761977 
  7.3000e-13          101.18517317            0.00000000        2307.18857854           -0.81125875         2306.37731979 
  7.3500e-13          101.22338099    146989078.74298987        2308.05977976           -0.81602236         2307.24375740 
  7.4000e-13          101.25333019            0.00000000        2308.74267088           -0.82139801         2307.92127288 
  7.4500e-13          101.27058257            0.00000000        2309.13605347           -0.82733597         2308.30871749 
  7.5000e-13          101.27339646     52543282.45657424        2309.20021476           -0.83378242         2308.36643234 
  7.5500e-13          101.26078631     50478875.56357418        2308.91268274           -0.84068015         2308.07200259 
  7.6000e-13          101.23304464    114192522.87103927        2308.28012701           -0.84796942         2307.43215758 
